date,ois_2y,d_ois2y_bp,ecb_day,n_releases,s_cpexemuy_f,s_cpexemuy_p,s_eccpemum_f,s_eccpemum_p,s_eccpemuy_f,s_eccpest,s_eccpest_p,s_eciendea,s_ecietdea,s_ecmam3yy,s_euccemu_p,s_euesemu,s_eugnemuq_a,s_eugnemuq_f,s_eugnemuq_p,s_eugnemuq_s,s_eugnemuq_t,s_eugnemuy_a,s_eugnemuy_f,s_eugnemuy_p,s_eugnemuy_t,s_euhnemuq,s_euicemu,s_euipemuy,s_euitemum,s_euppemum,s_euppemuy,s_euscemu,s_fcfnemuq,s_mpmiezca_f,s_mpmiezca_p,s_mpmiezma_f,s_mpmiezma_p,s_mpmiezsa_f,s_mpmiezsa_p,s_ngvtemuq,s_rssaemum,s_rswaemuy,s_snteeugx,s_umrtemu,s_xtsbez
2021-01-04,-0.629,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-05,-0.615,1.4000000000000012,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9629285574745693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-06,-0.605,1.0000000000000009,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6652512808795199,0.24651919739917239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-07,-0.5987,0.6299999999999972,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4176870591250391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0468563447276626,0.0,0.0,0.0,0.0,-1.0397321772796433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.772297478425922,-3.677908028030386,0.0,0.0,0.0
2021-01-08,-0.596,0.27000000000000357,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8758070379347955,0.0
2021-01-11,-0.593,0.30000000000000027,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1337921922564273,0.0,0.0
2021-01-12,-0.5825,1.0499999999999954,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-13,-0.603,-2.0499999999999963,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.435987377439466,3.8516902152279187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-14,-0.603,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-15,-0.606,-0.30000000000000027,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9338130421299916
