column,rtype,base,variant,event,relevance,sigma,n_full_hist,n_days_2021plus
s_eccpemuy_f,ECCPEMUY_F,ECCPEMUY,F,CPI YoY,95.2381,0.0004450119151949067,181,57
s_eugnemuq_f,EUGNEMUQ_F,EUGNEMUQ,F,GDP SA QoQ,90.4762,0.0008864649269102443,74,17
s_eugnemuq_p,EUGNEMUQ_P,EUGNEMUQ,P,GDP SA QoQ,90.4762,0.00039416662030339843,96,17
s_eugnemuq_s,EUGNEMUQ_S,EUGNEMUQ,S,GDP SA QoQ,90.4762,0.0021481616589565946,2,2
s_eugnemuq_t,EUGNEMUQ_T,EUGNEMUQ,T,GDP SA QoQ,90.4762,0.0021481616589565946,2,2
s_eugnemuq_a,EUGNEMUQ_A,EUGNEMUQ,A,GDP SA QoQ,90.4762,0.0034782532417917886,96,19
s_mpmiezma_f,MPMIEZMA_F,MPMIEZMA,F,HCOB Eurozone Manufacturing PMI,90.0,0.20712788509593222,51,51
s_mpmiezma_p,MPMIEZMA_P,MPMIEZMA,P,HCOB Eurozone Manufacturing PMI,90.0,1.223413061264426,220,57
s_eugnemuy_p,EUGNEMUY_P,EUGNEMUY,P,GDP SA YoY,88.0952,0.0008022025559332409,94,17
s_eugnemuy_t,EUGNEMUY_T,EUGNEMUY,T,GDP SA YoY,88.0952,0.002120385332106172,2,2
s_eugnemuy_a,EUGNEMUY_A,EUGNEMUY,A,GDP SA YoY,88.0952,0.003201931064678835,97,19
s_eugnemuy_f,EUGNEMUY_F,EUGNEMUY,F,GDP SA YoY,88.0952,0.001395502375108593,74,17
s_eccpemum_p,ECCPEMUM_P,ECCPEMUM,P,CPI MoM,85.7143,0.0019355823085674857,72,58
s_eccpemum_f,ECCPEMUM_F,ECCPEMUM,F,CPI MoM,85.7143,0.0004935978635379136,86,57
s_ecmam3yy,ECMAM3YY,ECMAM3YY,,M3 Money Supply YoY,78.5714,0.004153994570989388,289,58
s_eccpest,ECCPEST,ECCPEST,,CPI Estimate YoY,76.1905,0.0015281639809926815,274,48
s_eccpest_p,ECCPEST_P,ECCPEST,P,CPI Estimate YoY,76.1905,0.0015062164852150067,10,10
s_mpmiezca_p,MPMIEZCA_P,MPMIEZCA,P,HCOB Eurozone Composite PMI,73.8095,1.50042455131404,218,57
s_mpmiezca_f,MPMIEZCA_F,MPMIEZCA,F,HCOB Eurozone Composite PMI,73.8095,0.3176013038941969,51,51
s_cpexemuy_p,CPEXEMUY_P,CPEXEMUY,P,CPI Core YoY,71.4286,0.0013750319489057399,149,58
s_cpexemuy_f,CPEXEMUY_F,CPEXEMUY,F,CPI Core YoY,71.4286,0.0003287979746107144,149,57
s_mpmiezsa_f,MPMIEZSA_F,MPMIEZSA,F,HCOB Eurozone Services PMI,70.0,0.42377389457762776,51,51
s_mpmiezsa_p,MPMIEZSA_P,MPMIEZSA,P,HCOB Eurozone Services PMI,70.0,1.727523391831025,220,57
s_umrtemu,UMRTEMU,UMRTEMU,,Unemployment Rate,69.0476,0.0010662077492799786,305,58
s_euccemu_p,EUCCEMU_P,EUCCEMU,P,Consumer Confidence,66.6667,1.4231265868000345,188,57
s_euitemum,EUITEMUM,EUITEMUM,,Industrial Production SA MoM,59.5238,0.005971404426313398,294,58
s_euipemuy,EUIPEMUY,EUIPEMUY,,Industrial Production WDA YoY,57.1429,0.010673290116687438,294,58
s_rssaemum,RSSAEMUM,RSSAEMUM,,Retail Sales MoM,54.7619,0.007157441891689403,289,58
s_rswaemuy,RSWAEMUY,RSWAEMUY,,Retail Sales YoY,52.381,0.010331960372687724,291,58
s_euppemuy,EUPPEMUY,EUPPEMUY,,PPI YoY,50.0,0.004056479213587437,293,58
s_euppemum,EUPPEMUM,EUPPEMUM,,PPI MoM,47.619,0.003006382787201592,293,58
s_euesemu,EUESEMU,EUESEMU,,Economic Confidence,45.2381,1.4364821387018172,271,58
s_euhnemuq,EUHNEMUQ,EUHNEMUQ,,Household Cons QoQ,44.0476,0.001936562217963502,61,14
s_euicemu,EUICEMU,EUICEMU,,Industrial Confidence,35.7143,1.337337264134561,271,58
s_snteeugx,SNTEEUGX,SNTEEUGX,,Sentix Investor Confidence,33.3333,4.484566624411345,214,58
s_euscemu,EUSCEMU,EUSCEMU,,Services Confidence,30.9524,2.308286741956339,247,58
s_xtsbez,XTSBEZ,XTSBEZ,,Trade Balance SA,26.1905,3319722321.4285154,151,22
s_ngvtemuq,NGVTEMUQ,NGVTEMUQ,,Govt Expend QoQ,9.52381,0.002526308099283875,59,12
s_fcfnemuq,FCFNEMUQ,FCFNEMUQ,,Gross Fix Cap QoQ,7.14286,0.011768422269440559,60,14
s_eciendea,ECIENDEA,ECIENDEA,,EZB VPI-Erwartungen 1 Jahr,4.7619,0.0019518001458970662,15,15
s_ecietdea,ECIETDEA,ECIETDEA,,EZB VPI-Erwartungen 3 Jahre,2.38095,0.0009714540358261657,22,22
