lei,name,adviser_name,adviser_crd,adviser_type
5493008P9DJX0WNGA303,SYMMETRY MASTER FUND LIMITED,SYMMETRY INVESTMENTS JERSEY LIMITED,314983,ERA
549300RXYC2IDG39CW23,QRT Master Fund SPC - Torus Fund SP,QUBE RESEARCH & TECHNOLOGIES LIMITED,304552,ERA
549300HY72WJJ6KYOB71,BREVAN HOWARD ALPHA STRATEGIES MASTER FUND LIMITED,"BREVAN HOWARD CAPITAL MANAGEMENT, LP",161292,ERA
549300APE0JGFJ9JMB36,"EXODUSPOINT PARTNERS MASTER FUND, LP","EXODUSPOINT CAPITAL MANAGEMENT, LP",294156,RIA
FUKBWKZPQPD7DNK1WY51,BSMA LIMITED,,,
549300FV62LGN1DBJF68,QUBE MASTER FUND LTD,QUBE RESEARCH & TECHNOLOGIES LIMITED,304552,ERA
5493001KV0UXB1QVXK48,Symmetry Adaptive Fund Limited,SYMMETRY INVESTMENTS JERSEY LIMITED,314983,ERA
549300NFUQNQSETLCP08,RHINEGOLD LTD.,HAIDAR CAPITAL MANAGEMENT LLC,159798,RIA
549300PKGZ4QEFX6FD77,Squarepoint Core Master Fund Limited,SQUAREPOINT OPS LLC,172116,RIA
254900D33TBU3WASUT96,Welwing Master Fund,WELWING CAPITAL GROUP LIMITED,306751,ERA
YKS4QSSUSHKAP291P823,Capstone Global Master (Cayman) Limited,"CAPSTONE INVESTMENT ADVISORS, LLC",155563,RIA
22KMWLRMY0MUEN0W5D90,ELEMENT CAPITAL MASTER FUND LIMITED,ELEMENT CAPITAL MANAGEMENT LLC,160309,RIA
549300H7LZXRR4ME6270,Kedalion Fund LP,KEDALION CAPITAL MANAGEMENT LLP,298322,ERA
549300ZWDQ7M5QBY0093,Prism Fund SP,QUBE RESEARCH & TECHNOLOGIES LIMITED,304552,ERA
549300YKL1MDW51X6P80,ELAN MASTER FUND LTD.,ELAN CAPITAL MANAGEMENT (LONDON) LTD,291714,ERA
5493009HN53YN9OU8R24,Squarepoint Master Fund Limited,SQUAREPOINT OPS LLC,172116,RIA
5493001ZDI5KQPZTPI85,BREVAN HOWARD MASTER FUND LIMITED,"BREVAN HOWARD CAPITAL MANAGEMENT, LP",161292,ERA
2QER7Q2QN5HQI0QENU13,"Point72 Associates, LLC","POINT72 ASSET MANAGEMENT, L.P.",283077,RIA
X96O961GGN50PJF86R45,Obsidian Master Series Trust - The Obsidian Master Fund,,,
ATU1U5G0QM0FYBWUKQ21,FFI FUND LTD.,"BRACEBRIDGE CAPITAL, LLC",158343,RIA
6NL7EBUK4E0HIV223T62,"ALPHADYNE INTERNATIONAL MASTER FUND, LTD.",ALPHADYNE ASSET MANAGEMENT LP,154176,RIA
549300J1TRHZGH00QZ63,"POINT72 LONDON INVESTMENTS, LTD.",,,
549300W4URRQYRTK5329,"Wellington Pagosa Fund (Cayman) II, Ltd.",WELLINGTON MANAGEMENT COMPANY LLP,106595,RIA
PDD3Z8L9NGFS1YD1XJ25,"FIELD STREET MASTER FUND, LTD.","FIELD STREET CAPITAL MANAGEMENT, LLC",155587,RIA
S2RMK0GCHTYG6NG1X386,PIMCO Absolute Return Strategy IV eFund,,,
549300IBV3NEODVFBB96,EISLER CAPITAL MASTER FUND LTD,,,
VNL6C0FFFJGXC1Y5SS53,ALPHADYNE INTERNATIONAL (ERISA) MASTER FUND LTD.,,,
FEJVAWZKM2TUOXDMG690,HBK MASTER FUND L.P.,HBK CAPITAL MANAGEMENT,115079,RIA
QU3O73UKQUZ4QNOR2695,"Olifant Fund, Ltd.","BRACEBRIDGE CAPITAL, LLC",158343,RIA
C5FXQISSALYEDTGUN553,FYI LTD.,"BRACEBRIDGE CAPITAL, LLC",158343,RIA
549300TQIXFPOGUBPQ62,"MKP Everwood Fund, Ltd.",,,
YK1PIQIELCY1K3NRCN29,PIMCO ABSOLUTE RETURN STRATEGY 3D OFFSHORE FUND LTD.,PACIFIC INVESTMENT MANAGEMENT COMPANY LLC,104559,RIA
549300FBQCXRUQXA7A12,QUANTEDGE GLOBAL FUND,QUANTEDGE CAPITAL PTE LTD.,160363,ERA
549300N4NAUIQG81FI10,PIMCO ABSOLUTE RETURN STRATEGY IV MASTER FUND LDC,PACIFIC INVESTMENT MANAGEMENT COMPANY LLC,104559,RIA
355B8XDD5Q5VPP8NJF42,"JJJ Master Fund, Ltd.",JJJ CAPITAL MANAGEMENT (DIFC) LIMITED,335078,ERA
S7FG4ITZOFQTY8NO3222,PIMCO Global Cross-asset Opportunities Master Fund LDC,PACIFIC INVESTMENT MANAGEMENT COMPANY LLC,104559,RIA
5493003SFR2BC2B8IQ11,1907 III FUND LTD,,,
ZRTB6JE4U5UEXI9H9651,"PHARO GAIA FUND, LTD.","PHARO MANAGEMENT, INC.",141216,RIA
25490094V03V0ZN2K667,"BWTA Trading Fund II (Alpha), LP",,,
549300VGVF1TZTDFIN83,Deltroit Directional Opportunities Master Fund Limited,DELTROIT ASSET MANAGEMENT (US) LLC,334438,RIA
549300URH5XCNOLL1P33,"EWP PA FUND, LTD.",,,
549300Z6OSSJNEQYS249,III ALPHA CAPTURE FUND LTD.,,,
