lei,name,adviser_name,adviser_crd,brochure_evidence,strategy_adv
5493008P9DJX0WNGA303,SYMMETRY MASTER FUND LIMITED,SYMMETRY INVESTMENTS JERSEY LIMITED,314983,,Unclassified
549300RXYC2IDG39CW23,QRT Master Fund SPC - Torus Fund SP,QUBE RESEARCH & TECHNOLOGIES LIMITED,304552,,Unclassified
549300HY72WJJ6KYOB71,BREVAN HOWARD ALPHA STRATEGIES MASTER FUND LIMITED,"BREVAN HOWARD CAPITAL MANAGEMENT, LP",161292,,Unclassified
549300APE0JGFJ9JMB36,"EXODUSPOINT PARTNERS MASTER FUND, LP","EXODUSPOINT CAPITAL MANAGEMENT, LP",294156,294156_1055422.pdf,Fixed income / rates RV
FUKBWKZPQPD7DNK1WY51,BSMA LIMITED,BLUECREST CAPITAL MANAGEMENT (NEW YORK) LP,289582,289582_477671.pdf,Fixed income / rates RV
549300FV62LGN1DBJF68,QUBE MASTER FUND LTD,QUBE RESEARCH & TECHNOLOGIES LIMITED,304552,,Unclassified
5493001KV0UXB1QVXK48,Symmetry Adaptive Fund Limited,SYMMETRY INVESTMENTS JERSEY LIMITED,314983,,Unclassified
549300PKGZ4QEFX6FD77,Squarepoint Core Master Fund Limited,SQUAREPOINT OPS LLC,172116,,Unclassified
254900D33TBU3WASUT96,Welwing Master Fund,WELWING CAPITAL GROUP LIMITED,306751,,Unclassified
YKS4QSSUSHKAP291P823,Capstone Global Master (Cayman) Limited,"CAPSTONE INVESTMENT ADVISORS, LLC",155563,,Unclassified
22KMWLRMY0MUEN0W5D90,ELEMENT CAPITAL MASTER FUND LIMITED,ELEMENT CAPITAL MANAGEMENT LLC,160309,160309_1033766.pdf,Fixed income / rates RV
549300H7LZXRR4ME6270,Kedalion Fund LP,KEDALION CAPITAL MANAGEMENT LLP,298322,,Unclassified
549300ZWDQ7M5QBY0093,Prism Fund SP,QUBE RESEARCH & TECHNOLOGIES LIMITED,304552,,Unclassified
549300YKL1MDW51X6P80,ELAN MASTER FUND LTD.,ELAN CAPITAL MANAGEMENT (LONDON) LTD,291714,,Unclassified
5493009HN53YN9OU8R24,Squarepoint Master Fund Limited,SQUAREPOINT OPS LLC,172116,,Unclassified
5493001ZDI5KQPZTPI85,BREVAN HOWARD MASTER FUND LIMITED,"BREVAN HOWARD CAPITAL MANAGEMENT, LP",161292,,Unclassified
2QER7Q2QN5HQI0QENU13,"Point72 Associates, LLC","POINT72 ASSET MANAGEMENT, L.P.",283077,,Unclassified
ATU1U5G0QM0FYBWUKQ21,FFI FUND LTD.,"BRACEBRIDGE CAPITAL, LLC",158343,,Unclassified
6NL7EBUK4E0HIV223T62,"ALPHADYNE INTERNATIONAL MASTER FUND, LTD.",ALPHADYNE ASSET MANAGEMENT LP,154176,154176_1038585.pdf,Fixed income / rates RV
PDD3Z8L9NGFS1YD1XJ25,"FIELD STREET MASTER FUND, LTD.","FIELD STREET CAPITAL MANAGEMENT, LLC",155587,155587_706827.pdf,Fixed income / rates RV
FEJVAWZKM2TUOXDMG690,HBK MASTER FUND L.P.,HBK CAPITAL MANAGEMENT,115079,,Unclassified
QU3O73UKQUZ4QNOR2695,"Olifant Fund, Ltd.","BRACEBRIDGE CAPITAL, LLC",158343,,Unclassified
C5FXQISSALYEDTGUN553,FYI LTD.,"BRACEBRIDGE CAPITAL, LLC",158343,,Unclassified
YK1PIQIELCY1K3NRCN29,PIMCO ABSOLUTE RETURN STRATEGY 3D OFFSHORE FUND LTD.,PACIFIC INVESTMENT MANAGEMENT COMPANY LLC,104559,,Unclassified
549300FBQCXRUQXA7A12,QUANTEDGE GLOBAL FUND,QUANTEDGE CAPITAL PTE LTD.,160363,,Unclassified
549300N4NAUIQG81FI10,PIMCO ABSOLUTE RETURN STRATEGY IV MASTER FUND LDC,PACIFIC INVESTMENT MANAGEMENT COMPANY LLC,104559,,Unclassified
