fund,manager_guess
1907 III FUND LTD,III Capital Management
AHL Genesis 2 Limited,Man Group (AHL/solutions)
ALPHADYNE INTERNATIONAL (ERISA) MASTER FUND LTD.,Alphadyne Asset Management
"ALPHADYNE INTERNATIONAL MASTER FUND, LTD.",Alphadyne Asset Management
AQR GLOBAL RISK PREMIUM MASTER ACCOUNT II LTD.,AQR Capital Management
AQR GRP EL 20 MASTER ACCOUNT LTD.,AQR Capital Management
AQR GRPT EL Master Account Ltd.,AQR Capital Management
BREVAN HOWARD ALPHA STRATEGIES MASTER FUND LIMITED,Brevan Howard
BREVAN HOWARD MASTER FUND LIMITED,Brevan Howard
BSMA LIMITED,BlueCrest Capital
"BWTA TRADING FUND I, LTD.",Bridgewater Associates (?)
"BWTA Trading Fund II (Alpha), LP",Bridgewater Associates (?)
"BWTA Trading Fund II, LP",Bridgewater Associates (?)
BYBROOK CAPITAL BADMINTON 405 FUND LP,Bybrook Capital
BYBROOK CAPITAL BADMINTON FUND LP,Bybrook Capital
BYBROOK CAPITAL HAZELTON MASTER FUND LP,Bybrook Capital
BYBROOK CAPITAL MASTER FUND LP,Bybrook Capital
Capstone Global Master (Cayman) Limited,Capstone Investment Advisors
"DISCOVERY GLOBAL OPPORTUNITY MASTER FUND, LTD.",Discovery Capital
EISLER CAPITAL MASTER FUND LTD,Eisler Capital
ELEMENT CAPITAL MASTER FUND LIMITED,Element Capital
"ELLIOTT INTERNATIONAL, L.P.",Elliott Management
"EXODUSPOINT PARTNERS MASTER FUND, LP",ExodusPoint Capital
FFI FUND LTD.,Bracebridge Capital
"FIELD STREET MASTER FUND, LTD.",Field Street Capital
FYI LTD.,Bracebridge Capital
HBK MASTER FUND L.P.,HBK Capital
HUDSON BAY MASTER FUND LTD.,Hudson Bay Capital
III ALPHA CAPTURE FUND LTD.,III Capital Management
LMR CCSA Master Fund Limited,LMR Partners
MAN Desertwood Fund Limited,Man Group (AHL/solutions)
"MKP ALPHA PORT, LTD.",MKP Capital
"MKP ENHANCED OPPORTUNITY MASTER FUND, LTD.",MKP Capital
"MKP Everwood Fund, Ltd.",MKP Capital
"MKP OPPORTUNITY MASTER FUND, LTD.",MKP Capital
Man 1783 I SP,Man Group (AHL/solutions)
Maniyar Trading I L.P.,Maniyar Capital
NAPIER PARK ETON FUND LTD,Napier Park Global Capital
Obsidian Master Series Trust - The Obsidian Master Fund,BlackRock (Obsidian)
"Olifant Fund, Ltd.",Bracebridge Capital
PAGOSA STRATEGIES (CAYMAN) SPC,Wellington (Pagosa)
"PHARO GAIA FUND, LTD.",Pharo Management
"PHARO TRADING FUND, LTD.",Pharo Management
PIMCO ABSOLUTE RETURN STRATEGY 3D OFFSHORE FUND LTD.,PIMCO (ARS)
PIMCO ABSOLUTE RETURN STRATEGY 3E MASTER FUND LDC,PIMCO (ARS)
PIMCO ABSOLUTE RETURN STRATEGY IV MASTER FUND LDC,PIMCO (ARS)
PIMCO Absolute Return Strategy 3 Master Fund LDC,PIMCO (ARS)
PIMCO Absolute Return Strategy IV eFund,PIMCO (ARS)
PIMCO Global Cross-asset Opportunities Master Fund LDC,PIMCO (ARS)
"POINT72 LONDON INVESTMENTS, LTD.",Point72
"Point72 Associates, LLC",Point72
QRT Master Fund SPC - Torus Fund SP,Qube Research & Technologies
QUANTEDGE GLOBAL FUND,Quantedge
QUBE MASTER FUND LTD,Qube Research & Technologies
"SCULPTOR MASTER FUND, LTD.",Sculptor Capital
SYMMETRY MASTER FUND LIMITED,Symmetry Investments
Squarepoint Atlas Master Fund Limited,Squarepoint Capital
Squarepoint Core Master Fund Limited,Squarepoint Capital
Squarepoint Master Fund Limited,Squarepoint Capital
Symmetry Adaptive Fund Limited,Symmetry Investments
Wellington Master Emerging Alternatives Fund (Cayman) L.P.,Wellington
"Wellington Pagosa Fund (Cayman) II, Ltd.",Wellington (Pagosa)
