Data Source in SDW: https://sdw.ecb.de/quickview.do?org.apache.struts.taglib.html.TOKEN=ed67f455f89ad55f96bd96b8afb76bc8&SERIES_KEY=42.FM.B.U2.EUR.BL.EI.SX5E.HST&start=01-01-2021&end=&snapshot=&submitOptions.x=0&submitOptions.y=0&trans=N
,FM.B.U2.EUR.BL.EI.SX5E.HST
,"Euro area (changing composition) - Equity/index - EURO STOXX 50 Price EUR Index - Historical close - Euro, provided by Bloomberg Finance L.P."
Collection:,End of period (E)
Period\Unit:,[Points ]
,,obs. status,obs. confidentiality,obs. comment
2026-07-28,6289.5100000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-07-27,6282.2100000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-07-24,6280.9400000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-07-23,6210.1700000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-07-22,6316.9900000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-07-21,6285.6300000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-07-20,6227.4000000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-07-17,6230.8700000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-07-16,6283.6100000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-07-15,6265.5800000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-07-14,6280.1900000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-07-13,6271.0200000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-07-10,6269.9700000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-07-09,6284.2700000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-07-08,6204.9100000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-07-07,6319.8600000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-07-06,6398.0100000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-07-03,6412.6800000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-07-02,6360.4700000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-07-01,6282.5000000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-06-30,6328.0900000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-06-29,6231.6300000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-06-26,6221.5500000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-06-25,6267.5300000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-06-24,6214.7000000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-06-23,6230.5500000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-06-22,6311.3200000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-06-19,6293.1300000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-06-18,6323.2700000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-06-17,6300.0700000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-06-16,6257.4200000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-06-15,6229.4300000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-06-12,6187.6300000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-06-11,6056.9600000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-06-10,6009.9500000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-06-09,6049.7400000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-06-08,6062.2900000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-06-05,6062.0700000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-06-04,6103.3300000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-06-03,6053.5700000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-06-02,6107.8500000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-06-01,6034.9500000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-05-29,6050.5400000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-05-28,6055.1100000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-05-27,6070.5400000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-05-26,6064.1500000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-05-25,6136.6600000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-05-22,6019.4500000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-05-21,5960.3200000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-05-20,5976.0700000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-05-19,5851.1600000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-05-18,5849.0000000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-05-15,5827.7600000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-05-14,5934.9600000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-05-13,5861.0700000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-05-12,5808.4500000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-05-11,5895.4500000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-05-08,5911.5300000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-05-07,5972.6500000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-05-06,6027.1300000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-05-05,5869.6300000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-05-04,5763.6100000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-04-30,5881.5100000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-04-29,5816.4800000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-04-28,5836.1000000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
