lei,name,strategy_manual,evidence_tier,source
549300FV62LGN1DBJF68,QUBE MASTER FUND LTD,Systematic / quant,press/encyclopedia,Qube Research & Technologies: 'quantitative investment management firm' (en.wikipedia.org/wiki/Qube_Research_&_Technologies; Bloomberg 2026-01-08); flagship fund of a systematic manager; accessed 2026-08-26
549300RXYC2IDG39CW23,QRT Master Fund SPC - Torus Fund SP,Systematic / quant,press/encyclopedia,QRT fund vehicle named in Bloomberg 2026-01-08 ('Torus made 20%'); manager is systematic/quant; accessed 2026-08-26
549300ZWDQ7M5QBY0093,Prism Fund SP,Systematic / quant,press/encyclopedia,QRT 'Prism pool' named with Torus (Bloomberg 2026-01-08; hedgeweek.com); accessed 2026-08-26
5493001KV0UXB1QVXK48,Symmetry Adaptive Fund Limited,Fixed income / rates RV,database; single-program manager,Preqin manager profile 120165: Symmetry 'specializes in fixed income arbitrage and global macro strategies'; adviser Symmetry Investments Jersey verified via ADV 7.B.(1); accessed 2026-08-26
5493008P9DJX0WNGA303,SYMMETRY MASTER FUND LIMITED,Fixed income / rates RV,database; single-program manager,Preqin manager profile 120165: 'fixed income arbitrage and global macro strategies'; accessed 2026-08-26
549300HY72WJJ6KYOB71,BREVAN HOWARD ALPHA STRATEGIES MASTER FUND LIMITED,Global macro,manager website,"brevanhoward.com: 'specialising in global macro'; approach 'combines directional, relative value and derivative trading strategies'; accessed 2026-08-26"
5493001ZDI5KQPZTPI85,BREVAN HOWARD MASTER FUND LIMITED,Global macro,manager website; flagship of macro shop,brevanhoward.com: 'specialising in global macro'; accessed 2026-08-26
5493009HN53YN9OU8R24,Squarepoint Master Fund Limited,Systematic / quant,firm profile; adviser 7B1-verified,"Squarepoint Capital: 'global quantitative investment manager' (linkedin.com/company/squarepoint-capital; squarepoint-capital.com/about - JS page, print from browser); accessed 2026-08-26"
549300PKGZ4QEFX6FD77,Squarepoint Core Master Fund Limited,Systematic / quant,firm profile; adviser 7B1-verified,as Squarepoint Master; accessed 2026-08-26
549300QSDDQFGA14BJ61,Squarepoint Atlas Master Fund Limited,Systematic / quant,firm profile; adviser 7B1-verified,as Squarepoint Master; accessed 2026-08-26
