Data Source in SDW: https://sdw.ecb.de/quickview.do?org.apache.struts.taglib.html.TOKEN=c0ed7df2bb82f9c6f8fa4ee1c1f14d13&SERIES_KEY=42.FM.B.U2.EUR.BL.SO.EESWE2_BGN.HST&start=01-01-2021&end=&snapshot=&submitOptions.x=0&submitOptions.y=0&trans=N
,FM.B.U2.EUR.BL.SO.EESWE2_BGN.HST
,"Euro area (changing composition) - Overnight interest rate swaps - EUR Overnight Index Swap (ESTR) 2Y - Historical close - Euro, provided by Bloomberg Finance L.P."
Collection:,End of period (E)
Period\Unit:,[Percent per annum ]
,,obs. status,obs. confidentiality,obs. comment
2026-07-27,2.6749500,Normal value (A),Not for publication, restricted for internal use only (N),
2026-07-24,2.7150000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-07-23,2.7664500,Normal value (A),Not for publication, restricted for internal use only (N),
2026-07-22,2.7300000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-07-21,2.6868500,Normal value (A),Not for publication, restricted for internal use only (N),
2026-07-20,2.6795500,Normal value (A),Not for publication, restricted for internal use only (N),
2026-07-17,2.6887000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-07-16,2.6459500,Normal value (A),Not for publication, restricted for internal use only (N),
2026-07-15,2.6170000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-07-14,2.6228500,Normal value (A),Not for publication, restricted for internal use only (N),
2026-07-13,2.6472500,Normal value (A),Not for publication, restricted for internal use only (N),
2026-07-10,2.5440000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-07-09,2.5380000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-07-08,2.5880500,Normal value (A),Not for publication, restricted for internal use only (N),
2026-07-07,2.4750000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-07-06,2.4254000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-07-03,2.4200000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-07-02,2.3943500,Normal value (A),Not for publication, restricted for internal use only (N),
2026-07-01,2.4050000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-06-30,2.4124000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-06-29,2.4320000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-06-26,2.4080000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-06-25,2.4245000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-06-24,2.4460000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-06-23,2.4710000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-06-22,2.4910000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-06-19,2.5350000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-06-18,2.4920000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-06-17,2.4796500,Normal value (A),Not for publication, restricted for internal use only (N),
2026-06-16,2.4640000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-06-15,2.4770000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-06-12,2.5030000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-06-11,2.5796500,Normal value (A),Not for publication, restricted for internal use only (N),
2026-06-10,2.6220000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-06-09,2.5700000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-06-08,2.6031000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-06-05,2.5920000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-06-04,2.5460000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-06-03,2.5696500,Normal value (A),Not for publication, restricted for internal use only (N),
2026-06-02,2.5210000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-06-01,2.5210000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-05-29,2.4304500,Normal value (A),Not for publication, restricted for internal use only (N),
2026-05-28,2.4450000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-05-27,2.4800000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-05-26,2.4820000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-05-25,2.4280000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-05-22,2.5472500,Normal value (A),Not for publication, restricted for internal use only (N),
2026-05-21,2.5179500,Normal value (A),Not for publication, restricted for internal use only (N),
2026-05-20,2.5460000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-05-19,2.6470000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-05-18,2.6143000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-05-15,2.6450500,Normal value (A),Not for publication, restricted for internal use only (N),
2026-05-14,2.5640000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-05-13,2.5959800,Normal value (A),Not for publication, restricted for internal use only (N),
2026-05-12,2.6200000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-05-11,2.5620000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-05-08,2.4970000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-05-07,2.5010000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-05-06,2.4733500,Normal value (A),Not for publication, restricted for internal use only (N),
2026-05-05,2.5830000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-05-04,2.6390000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-05-01,2.5560000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-04-30,2.5509500,Normal value (A),Not for publication, restricted for internal use only (N),
2026-04-29,2.6579500,Normal value (A),Not for publication, restricted for internal use only (N),
2026-04-28,2.5607000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-04-27,2.4820000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-04-24,2.4480000,Normal value (A),Not for publication, restricted for internal use only (N),
